phone_brand,device_model,price_eur,screen_size,ram_gb,release_month,release_year,camera
sony,Xperia Z1,330.0,5.0,2.0,9.0,2013.0,20.0
coolpad,okami 1s,,,,,,
OPPO,R807,,,,,,
nubia,Z5S,,,,,,
coolpad,7295,,,,,,
coolpad,7620l,,,,,,
zte,Grand S 2,,,,,,
vivo,Y20T,,,,,,
coolpad,5950,,,,,,
xiaomi,redmi note3,220.0,5.5,3.0,2.0,2016.0,16.0
vivo,S9,,,,,,
samsung,Galaxy Ace 2,,,,,,
samsung,Galaxy S2 HD LTE E120S,,,,,,
lenovo,A3000-H,,,,,,
vivo,Y17W,,,,,,
samsung,I9050,,,,,,
huawei,G730-U00,,,,,,
gionee,X805,,,,,,
coolpad,F2,170.0,5.5,2.0,8.0,2014.0,13.0
OPPO,Find 7,440.0,5.5,3.0,5.0,2014.0,13.0
huawei,MT1-U06,,,,,,
youmi,UIMI4,,,,,,
lenovo,VIBE Z,,,,,,
huawei,X1 7.0,,,,,,
youmi,3,,,,,,
gionee,V185,,,,,,
OPPO,R831S,370.0,4.5,1.0,6.0,2014.0,5.0
coolpad,9976A,,,,,,
samsung,Galaxy Grand 2,180.0,5.25,1.5,1.0,2014.0,8.0
vivo,Y11IT,,,,,,
gionee,GN135,,,,,,
vivo,Xplay3S,355.0,6.0,3.0,10.0,2013.0,13.0
gionee,F301,,,,,,
samsung,Galaxy Trend 3,,,,,,
huawei,G730-L075,,,,,,
OPPO,N1T,,,,,,
lenovo,K860i,,,,,,
zte,V955,,,,,,
LOGO,M2,,,,,,
zte,星星1号,,,,,,
gionee,E7,,,,,,
samsung,SCH-I939,,,,,,
huawei,honor 3Cplay edition,,,,,,
HTC,G11,,,,,,
OPPO,R827T,,,,,,
lenovo,A789,,,,,,
huawei,Ascend P7,250.0,5.0,2.0,5.0,2014.0,13.0
huawei,honor 4 play,100.0,5.0,1.0,9.0,2014.0,8.0
samsung,I8268,,,,,,
huawei,honorU8860,,,,,,
huawei,Mate 2,330.0,6.1,2.0,1.0,2014.0,13.0
lenovo,A708t,,,,,,
samsung,Galaxy Tab 3 8.0,,,,,,
samsung,I9118,,,,,,
huawei,U9508,,,,,,
dowe,S3,,,,,,
huawei,honor3X,250.0,5.5,2.0,12.0,2013.0,13.0
coolpad,春雷HD,,,,,,
huawei,C8813,,,,,,
zte,U956,,,,,,
sony,Xperia P,,,,,,
OPPO,R3,270.0,5.0,1.0,6.0,2014.0,8.0
samsung,Galaxy S Advance,,,,,,
xiaomi,redmi3,,,,,,
huawei,HN3-U01,,,,,,
huawei,Y600-U00,,,,,,
hisense,M10-M,,,,,,
heymi,A1,,,,,,
TCL,S720,,,,,,
OPPO,R809T,,,,,,
huawei,G520-T10,,,,,,
nubia,Z9 mini,,,,,,
huawei,Ascend G6,250.0,4.5,1.0,5.0,2014.0,8.0
lenovo,A378t,,,,,,
samsung,Galaxy Mega Plus,,,,,,
Ktouch,Touch 2,,,,,,
opsson,IVO 6600,,,,,,
samsung,Galaxy Ace,,,,,,
lenovo,S880i,,,,,,
sony,Xperia C3,,,,,,
huawei,Y635-TL00,,,,,,
OPPO,R1S,290.0,5.0,1.0,6.0,2014.0,13.0
coolpad,8720L,110.0,5.0,1.0,2.0,2014.0,5.0
samsung,G3818,,,,,,
vivo,Y11,,,,,,
coolpad,7231,,,,,,
OPPO,R821T,,,,,,
vivo,X1,,,,,,
lenovo,A889,,,,,,
nubia,Z5S Mini,210.0,4.7,2.0,8.0,2014.0,13.0
HTC,Desire 816,250.0,5.5,1.5,3.0,2014.0,13.0
zte,U807,,,,,,
zte,Grand Memo 2,,,,,,
hisense,U980,,,,,,
coolpad,5951,,,,,,
samsung,Galaxy Note 3 Lite,,,,,,
lenovo,A670t,,,,,,
lenovo,A788t,,,,,,
xiaomi,redmi2,130.0,4.7,2.0,1.0,2015.0,8.0
lenovo,P780,,,,,,
hammer,T1,,,,,,
lenovo,s820e,,,,,,
samsung,N910C,,,,,,
coolpad,8089,,,,,,
huawei,honor+,,,,,,
zte,红牛V5,,,,,,
lenovo,S868t,,,,,,
samsung,Galaxy Core 4G,,,,,,
huawei,Ascend G7,260.0,5.5,2.0,10.0,2014.0,13.0
dowe,D350,,,,,,
hisense,M20-T,,,,,,
lenovo,A828t,,,,,,
samsung,Galaxy S3 Neo+,300.0,4.8,1.5,4.0,2014.0,8.0
xiaomi,redmi2A,130.0,4.7,1.0,4.0,2015.0,8.0
vivo,Y13,,,,,,
coolpad,8705,,,,,,
HTC,7060,,,,,,
coolpad,5860S,,,,,,
lenovo,A680,,,,,,
samsung,Galaxy Note 10.1,,,,,,
koobee,TALK 7X四核,,,,,,
huawei,Y516,,,,,,
coolpad,8076D,,,,,,
samsung,W2014,,,,,,
nubia,Z7 Mini,180.0,5.0,2.0,6.0,2014.0,13.0
zte,U818,,,,,,
huawei,honorX2,,,,,,
coolpad,8017,,,,,,
meitu,2,,,,,,
coolpad,5891Q,,,,,,
huawei,C8815,,,,,,
huawei,Y511-T00,,,,,,
nibilu,火星一号,,,,,,
vivo,X3S,,,,,,
xiaomi,redmi note 4g,160.0,5.5,2.0,8.0,2014.0,13.0
vivo,S7,,,,,,
oneplus,One,250.0,5.5,3.0,6.0,2014.0,13.0
vivo,X710L,,,,,,
xiaomi,MI 4,230.0,5.0,3.0,8.0,2014.0,13.0
lenovo,A388t,,,,,,
HTC,Butterfly s,,,,,,
nubia,Z7 Max,,,,,,
vivo,Y613,,,,,,
LG,L22,,,,,,
meizu,MX4,340.0,5.36,2.0,9.0,2014.0,20.0
vivo,X3V,,,,,,
samsung,Galaxy R,,,,,,
OPPO,R7 Plus,430.0,6.0,4.0,5.0,2015.0,13.0
coolpad,7295A青春版,,,,,,
samsung,Galaxy Style DUOS,,,,,,
yougo,M6,,,,,,
nokia,XL,,,,,,
huawei,C8816D,,,,,,
HTC,EVO 3D X515m,,,,,,
coolpad,8750,,,,,,
samsung,W2013,,,,,,
samsung,Galaxy Tab 2 P5110,,,,,,
sony,Xperia ZR ,,,,,,
lenovo,VIBE X2,,,,,,
huawei,Mate 7,340.0,6.0,3.0,10.0,2014.0,
Ktouch,T91,,,,,,
vivo,X3L,209.0,5.0,2.0,4.0,2014.0,13.0
lenovo,A320t,,,,,,
hisense,X8T,,,,,,
HTC,One E8,,,,,,
lenovo,S810t,,,,,,
lenovo,S650,,,,,,
vivo,X5L,270.0,5.0,2.0,9.0,2014.0,13.0
LG,G3,,,,,,
lenovo,S720,,,,,,
OPPO,U707T,,,,,,
lenovo,A658t,,,,,,
OPPO,R823T,,,,,,
samsung,Galaxy Ace 3,,,,,,
coolpad,7295C,,,,,,
lenovo,S850t,,,,,,
coolpad,8702,,,,,,
lenovo,S696,,,,,,
lenovo,A880,130.0,6.0,1.0,1.0,2014.0,5.0
youmi,R1,,,,,,
coolpad,8190Q,,,,,,
OPPO,N1W,,,,,,
sony,X10i,,,,,,
samsung,Galaxy Note 4,440.0,5.7,3.0,10.0,2014.0,16.0
lenovo,A890e,,,,,,
coolpad,okami X7,,,,,,
lenovo,黄金斗士A8,,,,,,
huawei,G750-T20,,,,,,
huawei,麦芒3,,,,,,
sony,Xperia S,,,,,,
sony,Xperia Z3,,,,,,
OPPO,R1,,,,,,
candy,T3,,,,,,
coolpad,大观4,,,,,,
huawei,Y300,,,,,,
coolpad,8702D,,,,,,
OPPO,R6007,,,,,,
huawei,麦芒4,310.0,5.5,2.0,11.0,2015.0,5.0
samsung,Galaxy A8,,,,,,
ccmc,M811,,,,,,
lenovo,S850,,,,,,
samsung,Galaxy Tab 3 Lite T111,,,,,,
samsung,G3588V,,,,,,
samsung,Galaxy Tab P3108,,,,,,
gionee,ELIFE E6 mini,,,,,,
yuxin,小辣椒 M2,,,,,,
huawei,C8813D,,,,,,
vivo,Y23L,190.0,4.5,1.0,11.0,2014.0,5.0
samsung,S7568,,,,,,
kiwu,A800,,,,,,
HTC,608t,,,,,,
lenovo,golden warrior S8,,,,,,
HTC,One S,,,,,,
gionee,GN700T,,,,,,
LG,Nexus 5,,,,,,
huawei,honor 6 plus,200.0,5.5,3.0,12.0,2014.0,8.0
samsung,Galaxy S4 Zoom,,,,,,
OPPO,X907,,,,,,
coolpad,Y80D,,,,,,
samsung,Galaxy Grand Prime,140.0,5.0,1.0,10.0,2014.0,8.0
gionee,GN810,,,,,,
huawei,A199,,,,,,
hisense,EG970,,,,,,
lenovo,S880,,,,,,
gionee,ELIFE E3T,,,,,,
greeno,N1-Y,,,,,,
zte,N986,,,,,,
zte,Blade C,,,,,,
vivo,Y13L,400.0,4.5,1.0,9.0,2014.0,5.0
lenovo,IdeaTab A5000-E,,,,,,
zte,Q505T,,,,,,
zte,G718C,,,,,,
coolpad,8730L,,,,,,
gionee,ELIFE S5.5,,,,,,
OPPO,R831T,,,,,,
xiaomi,MI 5,,,,,,
Ktouch,T87+,,,,,,
HTC,802d,,,,,,
opsson,IVO 6655,,,,,,
samsung,Galaxy S L,,,,,,
huawei,honor4A,90.0,5.0,2.0,7.0,2015.0,8.0
coolpad,okami Note3,,,,,,
HTC,M8St,,,,,,
nubia,Z9 Max,,,,,,
samsung,Galaxy Mega 2,,,,,,
coolpad,ivvi K1 mini,,,,,,
dowe,iSuper S1,,,,,,
coolpad,5217,,,,,,
coolpad,8729,,,,,,
lenovo,A630,,,,,,
coolpad,7019,,,,,,
sony,Xperia U,,,,,,
vivo,Y18L,,,,,,
HTC,Desire 820,,,,,,
HTC,T329t,,,,,,
sony,Xperia Z5,,,,,,
samsung,S7568I,,,,,,
sony,Xperia T2 Ultra,,,,,,
samsung,Galaxy Grand Neo Plus,,,,,,
lenovo,A630t,,,,,,
vivo,S11T,,,,,,
OPPO,A51,,,,,,
lenovo,lemon K3,110.0,5.0,2.0,1.0,2016.0,13.0
asus,ZenFone 5,,,,,,
meizu,MX4 Pro,400.0,5.5,3.0,12.0,2014.0,20.0
meizu,blue charm,130.0,5.0,1.0,10.0,2014.0,13.0
xiaomi,MI pad,,,,,,
qiku,青春版,,,,,,
dowe,T20,,,,,,
samsung,Galaxy Core Mini,,,,,,
vivo,Y33,,,,,,
lenovo,S898t,,,,,,
lenovo,A390,,,,,,
zte,U950,,,,,,
lenovo,A768t,,,,,,
sony,Xperia acro S,,,,,,
panasonic,N828,,,,,,
samsung,G7200,,,,,,
huawei,G660-L075,,,,,,
zte,A880,,,,,,
zte,V5 Max,,,,,,
dowe,iSuper S2,,,,,,
sony,Xperia Z2,,,,,,
weitu,VT898,,,,,,
lenovo,A298t,,,,,,
OPPO,N3,,,,,,
huawei,C8817L,,,,,,
lenovo,A360t,,,,,,
xiaomi,MI One C1,,,,,,
lenovo,S938t,,,,,,
OPPO,R8000,,,,,,
huawei,honorplay 运动版,,,,,,
samsung,Galaxy Fame,,,,,,
samsung,Galaxy J7,250.0,5.5,1.5,6.0,2015.0,13.0
coolpad,8720,,,,,,
coolpad,9190l,,,,,,
samsung,Galaxy Tab S T805C,,,,,,
ccmc,M812C,,,,,,
HTC,One max,,,,,,
vivo,Y22IL,,,,,,
meizu,M030,,,,,,
panasonic,N821,,,,,,
vivo,Y28L,,,,,,
zte,U889,,,,,,
huawei,G616-L076,,,,,,
HTC,One M8,470.0,5.0,2.0,3.0,2014.0,4.0
huawei,Y320T,,,,,,
lenovo,A750e,,,,,,
meizu,blue charmNOTE,130.0,5.5,2.0,1.0,2015.0,13.0
HTC,T328w,,,,,,
samsung,2016版 Galaxy A9,,,,,,
koobee,U51GT-W,,,,,,
vivo,Y51,,,,,,
samsung,Galaxy Nexus,,,,,,
coolpad,8150,,,,,,
lenovo,A208t,,,,,,
huawei,honorplay5X,300.0,5.5,2.0,1.0,2016.0,13.0
coolpad,T1,,,,,,
huawei,Y500,,,,,,
OPPO,R817T,,,,,,
hisense,E820,,,,,,
vivo,Y613F,,,,,,
dowe,T35,,,,,,
HTC,Sensation XE with Beats Audio Z715e,,,,,,
gionee,F103S,,,,,,
samsung,Galaxy Trend DUOS 2,,,,,,
zte,V967S,,,,,,
aiyouni,U2,,,,,,
samsung,Galaxy A5,260.0,5.0,2.0,12.0,2014.0,13.0
asus,ME371MG,,,,,,
zte,9180,,,,,,
zte,U817,,,,,,
gionee,GN139,,,,,,
OPPO,A31,150.0,4.5,1.0,4.0,2015.0,8.0
coolpad,7320,,,,,,
vivo,X5SL,270.0,5.0,2.0,1.0,2015.0,13.0
meizu,blue charmmetal,110.0,5.1,2.0,6.0,2016.0,13.0
gionee,GN5002,,,,,,
LG,P880,,,,,,
samsung,Galaxy Tab S T705C,,,,,,
HTC,Butterfly,,,,,,
OPPO,R813T,,,,,,
lenovo,A628t,,,,,,
coolpad,Great God F1Plus,170.0,5.0,1.0,5.0,2015.0,8.0
lenovo,黄金斗士Note8,,,,,,
weitu,VT898S,,,,,,
HTC,T327t,,,,,,
samsung,S5830I,70.0,3.5,0.3,1.0,2011.0,5.0
samsung,Galaxy A7,350.0,5.5,2.0,2.0,2015.0,13.0
OPPO,R1C,85.0,5.0,2.0,1.0,2015.0,13.0
vivo,X5V,,,,,,
moto,Defy+,,,,,,
vivo,Y37,,,,,,
dowe,L1 mini,,,,,,
xiangmi,X6666,,,,,,
hisense,U939,,,,,,
micky,M6-M7,,,,,,
bigcola,MC002,,,,,,
lenovo,A706,,,,,,
zte,Q802T,,,,,,
LG,Optimus G Pro,,,,,,
OPPO,3007,,,,,,
zte,Q301C,,,,,,
huawei,C8812,,,,,,
vivo,Y13T,,,,,,
vivo,Y11IW,,,,,,
lenovo,A398t+,,,,,,
samsung,Galaxy Ace DUOS,,,,,,
samsung,S7898,,,,,,
lenovo,A678t,,,,,,
lenovo,A800,,,,,,
HTC,D516w,,,,,,
vivo,S3+,,,,,,
coolpad,Y1,,,,,,
OPPO,R5,400.0,5.2,2.0,12.0,2014.0,13.0
wpf,S2,,,,,,
xiaomi,mi note,320.0,5.7,3.0,1.0,2015.0,13.0
lenovo,S858t,,,,,,
coolpad,7268,,,,,,
samsung,Galaxy Trend 2,,,,,,
lenovo,A390t,,,,,,
vivo,Y22L,,,,,,
gionee,S5.1,,,,,,
OPPO,R819T,,,,,,
yuxin,红辣椒,,,,,,
samsung,Galaxy E7,,,,,,
yuxin,红辣椒任性版 Plus,,,,,,
lenovo,A269i,,,,,,
TCL,么么哒3N,,,,,,
samsung,Galaxy Gio,,,,,,
lenovo,S820,230.0,4.7,1.0,5.0,2013.0,12.0
huawei,C8817E,,,,,,
gionee,E6,,,,,,
OPPO,R2010,,,,,,
HTC,渴望HD,,,,,,
gionee,V188S,,,,,,
youmi,UIMI3,,,,,,
lenovo,P70,,,,,,
lenovo,A798t,,,,,,
coolpad,8190,,,,,,
HTC,Desire 826,,,,,,
lenovo,A766,,,,,,
hisense,E601M,,,,,,
OPPO,R811,,,,,,
huawei,Y511-U00,,,,,,
gionee,GN878,,,,,,
huawei,Y220T,,,,,,
vivo,Y928,,,,,,
coolpad,8295M,,,,,,
coolpad,okami F2全高清版,,,,,,
samsung,Galaxy Ace Dear,,,,,,
samsung,Galaxy Core Prime,,,,,,
hisense,E620M,,,,,,
coolpad,8079,,,,,,
huawei,Y320,,,,,,
lenovo,A318t,,,,,,
huawei,Ascend GX1,,,,,,
OPPO,6607,,,,,,
zte,V5S,,,,,,
coolpad,8732,,,,,,
huawei,Y610-U00,,,,,,
samsung,Galaxy Tab 3 7.0,,,,,,
hasse,X50TS,,,,,,
huawei,Mate 8,430.0,6.0,4.0,11.0,2015.0,16.0
mole,S9,,,,,,
dowe,S2y,,,,,,
zte,U930HD,,,,,,
samsung,Galaxy W,,,,,,
fs,T9,,,,,,
huawei,G610C,,,,,,
asus,T00G,,,,,,
vivo,Y29L,,,,,,
zte,N818,,,,,,
coolpad,锋尚,,,,,,
coolpad,8070,,,,,,
HTC,灵感XL,,,,,,
OPPO,1100,,,,,,
lenovo,A308t,,,,,,
51cube,S1,,,,,,
coolpad,8185,,,,,,
gionee,GN9002,,,,,,
samsung,G3609,,,,,,
huawei,S8-701w,,,,,,
lenovo,A858t,,,,,,
huawei,T1-821w,,,,,,
HTC,One M8 Eye,,,,,,
samsung,B9388,,,,,,
vivo,S7T,,,,,,
HTC,T329d,,,,,,
mige,201,,,,,,
lenovo,S899t,,,,,,
lenovo,A238t,,,,,,
weitu,VT868,,,,,,
lenovo,A820e,,,,,,
fks,M310,,,,,,
lenovo,A850+,,,,,,
samsung,大器2,,,,,,
vivo,S9T,,,,,,
OPPO,R7s,370.0,5.5,4.0,12.0,2015.0,13.0
lenovo,A760,,,,,,
zte,Q701C,,,,,,
HTC,Desire 820 Mini,,,,,,
vivo,Y927,,,,,,
lenovo,A3800d,,,,,,
desci,TS1018,,,,,,
moto,Moto X,,,,,,
lenovo,A688t,,,,,,
huawei,G606,,,,,,
samsung,Galaxy S6,410.0,5.1,3.0,4.0,2015.0,16.0
samsung,Galaxy Ace Plus,,,,,,
gionee,GN137,,,,,,
coolpad,7298D,,,,,,
HTC,Desire 626,,,,,,
OPPO,R8205,,,,,,
hisense,T958,,,,,,
coolpad,炫影S+,,,,,,
sony,Xperia Z1 炫彩版,,,,,,
gionee,F103,,,,,,
coolpad,Y60-C1,,,,,,
vivo,Y913,,,,,,
51cube,S2,,,,,,
samsung,Galaxy S3 Mini,,,,,,
gionee,E6T,,,,,,
coolpad,8707,,,,,,
51cube,M1,,,,,,
mengmi,P6,,,,,,
samsung,Galaxy Tab 2 P3100,,,,,,
huawei,Mate S,,,,,,
sony,Xperia ion,,,,,,
vivo,X5Max,390.0,5.5,2.0,12.0,2014.0,13.0
hisense,E912S,,,,,,
huawei,S8-701u,,,,,,
samsung,Galaxy S6 Edge,470.0,5.1,3.0,4.0,2015.0,16.0
fks,M2,,,,,,
lenovo,A860e,,,,,,
OPPO,A33,,,,,,
gionee,S7,,,,,,
coolpad,8056,,,,,,
dowe,D500,,,,,,
HTC,Desire 5088,,,,,,
huawei,Ascend P8,300.0,5.2,3.0,4.0,2015.0,13.0
lshi,超级手机1,200.0,5.5,3.0,3.0,2015.0,13.0
samsung,Galaxy Note Edge,,,,,,
samsung,Galaxy Note 5,530.0,5.7,4.0,8.0,2015.0,16.0
coolpad,5892,,,,,,
smallt,MM1101,,,,,,
HTC,M8,,,,,,
coolpad,8017-T00,,,,,,
newman,纽扣,,,,,,
xiaomi,note顶配版,380.0,5.7,4.0,5.0,2015.0,13.0
banghua,V9,,,,,,
vivo,Y13iL,,,,,,
gionee,E3,,,,,,
gionee,GN715,,,,,,
HTC,M8x,,,,,,
huawei,C8813DQ,,,,,,
coolpad,7372,,,,,,
HTC,T327w,,,,,,
huawei,G6-U00,,,,,,
ccmc,M601,,,,,,
epai,U5482,,,,,,
gionee,GN105,,,,,,
gionee,E5,,,,,,
moto,XT1033,,,,,,
sony,Xperia C,,,,,,
gionee,GN150,,,,,,
ccmc,A1,,,,,,
zte,U795+,,,,,,
asus,飞马,,,,,,
hisense,E600M,,,,,,
vivo,Y923,,,,,,
zte,U960S3,,,,,,
sony,Xperia ZL,,,,,,
lenovo,A2800d,,,,,,
HTC,606w,,,,,,
zte,U880,,,,,,
TCL,J636D+,,,,,,
meitu,MK260,,,,,,
lenovo,A5800-D,,,,,,
kiwu,G9,,,,,,
samsung,Galaxy On5,,,,,,
pner,MOMO9,,,,,,
samsung,SHV-E210L,,,,,,
huawei,P8 Lite,170.0,5.0,2.0,5.0,2015.0,13.0
huawei,Y518-T00,,,,,,
gionee,GN705T,,,,,,
zte,memo 5S,,,,,,
zte,星星2号,,,,,,
samsung,Galaxy Note 8.0,,,,,,
meizu,MX5,200.0,5.5,3.0,6.0,2015.0,20.0
meitu,M4,,,,,,
TCL,J738M,,,,,,
huawei,C8818,,,,,,
HTC,Desire 609d,,,,,,
meizu,M032,,,,,,
coolpad,K1,,,,,,
vivo,Y35,,,,,,
samsung,Galaxy Core Max,90.0,4.8,1.0,1.0,2014.0,8.0
vivo,S6,,,,,,
epai,A3,,,,,,
sony,Xperia SP,,,,,,
HTC,Desire D516d,,,,,,
fks,M210,,,,,,
coolpad,5832,,,,,,
huawei,P8max,,,,,,
samsung,Galaxy S4 Mini,,,,,,
vivo,S12,,,,,,
TCL,乐玩,,,,,,
huawei,T8830Pro,,,,,,
asus,ZenFone 2,,,,,,
ouxin,T80,,,,,,
ximi,R5s plus,,,,,,
vivo,Y628,,,,,,
sony,Xperia TX,,,,,,
hisense,E50-T,,,,,,
haier,HT-I717,,,,,,
vivo,X3F,,,,,,
lenovo,A6800,,,,,,
51cube,H1,,,,,,
vivo,Y1,,,,,,
gionee,F303,,,,,,
gionee,W800,,,,,,
TCL,P301M,,,,,,
dowe,D330,,,,,,
OPPO,R817,,,,,,
coolpad,5263,,,,,,
hisense,T967,,,,,,
bodao,T9608,,,,,,
lenovo,S90-t,,,,,,
gionee,GN708T,,,,,,
coolpad,7270-W00,,,,,,
gionee,GN706L,,,,,,
huawei,Y330,,,,,,
hisense,EG971,,,,,,
huawei,honor7i,,,,,,
hisense,I630T,,,,,,
lenovo,A770e,,,,,,
samsung,Galaxy Tab 7.0 Plus,,,,,,
coolpad,ivvi 小i,,,,,,
zte,Q503U,,,,,,
zte,V889D,,,,,,
zte,Grand Memo,,,,,,
coolpad,8713,,,,,,
samsung,Galaxy Tab S T800,,,,,,
meizu,Blue Charm 2,120.0,5.0,2.0,6.0,2016.0,13.0
sony,Xperia arc S,,,,,,
TCL,P308L,,,,,,
huawei,G525,,,,,,
samsung,Galaxy Golden,,,,,,
aiyouni,U3,,,,,,
gionee,M5,330.0,5.5,3.0,11.0,2015.0,13.0
samsung,Galaxy Core Lite,,,,,,
lshi,超级手机Max,,,,,,
nubia,Z5 Mini,,,,,,
lshi,超级手机1 Pro,,,,,,
huawei,Mate 7 青春版,,,,,,
hisense,E621T,,,,,,
vivo,Y22,,,,,,
ccmc,N1,,,,,,
OPPO,T29,,,,,,
nuomi,3S,,,,,,
weimi,P9,,,,,,
lenovo,S60t,,,,,,
