n_app_active_daily,1st_app_dly,2nd_app_dly,3rd_app_dly,2days_most_used,3days_most_used,7days_most_used,10days_most_used,n_app_active_daily_2days_mean,n_app_active_daily_2days_var,n_app_active_daily_2days_max,n_app_active_daily_2days_count,n_app_active_daily_7days_mean,n_app_active_daily_7days_var,n_app_active_daily_7days_max,n_app_active_daily_7days_count,n_app_active_daily_10days_mean,n_app_active_daily_10days_var,n_app_active_daily_10days_max,n_app_active_daily_10days_count,n_app_active_daily_day_mean,n_app_active_daily_day_max,n_app_active_daily_day_count,n_app_active_daily_3days_mean,n_app_active_daily_3days_var,n_app_active_daily_3days_max,n_app_active_daily_3days_count,n_app_installed_daily,n_app_installed_daily_2days_mean,n_app_installed_daily_2days_var,n_app_installed_daily_2days_max,n_app_installed_daily_2days_count,n_app_installed_daily_7days_mean,n_app_installed_daily_7days_var,n_app_installed_daily_7days_max,n_app_installed_daily_7days_count,n_app_installed_daily_10days_mean,n_app_installed_daily_10days_var,n_app_installed_daily_10days_max,n_app_installed_daily_10days_count,n_app_installed_daily_day_mean,n_app_installed_daily_day_max,n_app_installed_daily_day_count,n_app_installed_daily_3days_mean,n_app_installed_daily_3days_var,n_app_installed_daily_3days_max,n_app_installed_daily_3days_count,2days_most_used_installed,3days_most_used_installed,7days_most_used_installed,10days_most_used_installed,1st_cat_dly_installed,2nd_cat_dly_installed,3rd_cat_dly_installed,2days_most_used_active,3days_most_used_active,7days_most_used_active,10days_most_used_active,1st_cat_dly_active,2nd_cat_dly_active,3rd_cat_dly_active,phone_brand,price_eur,screen_size,ram_gb,release_month,release_year,camera,daily_distance_1day_mean,daily_distance_1day_var,daily_distance_1day_max,daily_distance_1day_count,daily_distance_2days_mean,daily_distance_2days_var,daily_distance_2days_max,daily_distance_2days_count,daily_distance_7days_mean,daily_distance_7days_var,daily_distance_7days_max,daily_distance_7days_count,daily_distance_10days_mean,daily_distance_10days_var,daily_distance_10days_max,daily_distance_10days_count,daily_distance_3days_mean,daily_distance_3days_var,daily_distance_3days_max,daily_distance_3days_count,labels
99.0,8948670408023620661,-1398439828760446650,6284164581582112235,8948670408023620661,8948670408023620661,8948670408023620661,8948670408023620661,166.5,9112.5,234.0,2.0,158.714285714,3467.23809524,234.0,7.0,158.714285714,3467.23809524,234.0,7.0,99.0,99.0,1.0,158.714285714,3467.23809524,234.0,7.0,47.0,48.5,4.5,50.0,2.0,48.2857142857,1.90476190476,50.0,7.0,48.2857142857,1.90476190476,50.0,7.0,47.0,47.0,1.0,48.2857142857,1.90476190476,50.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,713.0,548.0,548.0,548.0,548.0,548.0,704.0,713.0,1,100.0,5.0,1.0,9.0,2014.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
15.0,-3377762563562413489,5195654633279707117,1088227414300337900,-3377762563562413489,-3377762563562413489,-3377762563562413489,-3377762563562413489,12.0,18.0,15.0,2.0,8.42857142857,10.2857142857,15.0,7.0,8.42857142857,10.2857142857,15.0,7.0,15.0,15.0,1.0,8.42857142857,10.2857142857,15.0,7.0,28.0,28.0,0.0,28.0,2.0,27.7142857143,0.238095238095,28.0,7.0,27.7142857143,0.238095238095,28.0,7.0,28.0,28.0,1.0,27.7142857143,0.238095238095,28.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,405.0,302.0,302.0,302.0,302.0,302.0,303.0,306.0,2,200.0,5.5,2.0,6.0,2015.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
18.0,628020936226491308,6857064487612534261,1611513312743591454,628020936226491308,628020936226491308,628020936226491308,628020936226491308,18.0,-1.0,18.0,1.0,18.0,-1.0,18.0,1.0,18.0,-1.0,18.0,1.0,18.0,18.0,1.0,18.0,-1.0,18.0,1.0,44.0,44.0,-1.0,44.0,1.0,44.0,-1.0,44.0,1.0,44.0,-1.0,44.0,1.0,44.0,44.0,1.0,44.0,-1.0,44.0,1.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,3,420.0,5.7,3.0,9.0,2013.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
160.0,8693964245073640147,-4282411818830913419,-5472633337921616096,8693964245073640147,8693964245073640147,628020936226491308,628020936226491308,243.5,13944.5,327.0,2.0,250.285714286,3437.23809524,327.0,7.0,250.285714286,3437.23809524,327.0,7.0,160.0,160.0,1.0,250.285714286,3437.23809524,327.0,7.0,80.0,81.0,2.0,82.0,2.0,80.5714285714,1.95238095238,82.0,7.0,80.5714285714,1.95238095238,82.0,7.0,80.0,80.0,1.0,80.5714285714,1.95238095238,82.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,3,260.0,5.0,2.0,12.0,2014.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
32.0,8181328082200809725,-6538188762242952077,5927333115845830913,8181328082200809725,8181328082200809725,8181328082200809725,8181328082200809725,32.0,0.0,32.0,2.0,30.2857142857,1256.57142857,104.0,7.0,30.2857142857,1256.57142857,104.0,7.0,32.0,32.0,1.0,30.2857142857,1256.57142857,104.0,7.0,46.0,45.5,0.5,46.0,2.0,33.1428571429,513.476190476,48.0,7.0,33.1428571429,513.476190476,48.0,7.0,46.0,46.0,1.0,33.1428571429,513.476190476,48.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,10,400.0,5.2,2.0,12.0,2014.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
2.0,1088227414300337900,-1,-1,7014655825255656561,1088227414300337900,1088227414300337900,1088227414300337900,2.0,0.0,2.0,2.0,2.28571428571,1.57142857143,4.0,7.0,2.28571428571,1.57142857143,4.0,7.0,2.0,2.0,1.0,2.28571428571,1.57142857143,4.0,7.0,64.0,64.5,0.5,65.0,2.0,53.8571428571,565.476190476,65.0,7.0,53.8571428571,565.476190476,65.0,7.0,64.0,64.0,1.0,53.8571428571,565.476190476,65.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,263.0,263.0,263.0,263.0,263.0,1007.0,779.0,3,530.0,5.7,4.0,8.0,2015.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
6.0,-2735727003848075401,1665047061121005617,5927333115845830913,-2735727003848075401,-2735727003848075401,-2735727003848075401,-2735727003848075401,5.0,2.0,6.0,2.0,5.0,2.0,6.0,2.0,5.0,2.0,6.0,2.0,6.0,6.0,1.0,5.0,2.0,6.0,2.0,25.0,24.5,0.5,25.0,2.0,24.5,0.5,25.0,2.0,24.5,0.5,25.0,2.0,25.0,25.0,1.0,24.5,0.5,25.0,2.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,0,130.0,4.7,2.0,1.0,2015.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
6.0,-6793861127573349654,6965654211116534216,1081301425634924658,0,0,0,0,3.0,18.0,6.0,2.0,2.85714285714,12.8095238095,9.0,7.0,2.85714285714,12.8095238095,9.0,7.0,6.0,6.0,1.0,2.85714285714,12.8095238095,9.0,7.0,100.0,50.0,5000.0,100.0,2.0,50.0,2225.66666667,100.0,7.0,50.0,2225.66666667,100.0,7.0,100.0,100.0,1.0,50.0,2225.66666667,100.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,549.0,960.0,19,130.0,5.5,3.0,10.0,2015.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
24.0,8181328082200809725,5927333115845830913,-196592189248911642,8181328082200809725,8181328082200809725,8181328082200809725,8181328082200809725,39.0,450.0,54.0,2.0,84.1428571429,2309.47619048,150.0,7.0,84.1428571429,2309.47619048,150.0,7.0,24.0,24.0,1.0,84.1428571429,2309.47619048,150.0,7.0,46.0,46.5,0.5,47.0,2.0,48.0,1.66666666667,50.0,7.0,48.0,1.66666666667,50.0,7.0,46.0,46.0,1.0,48.0,1.66666666667,50.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,10,85.0,5.0,2.0,1.0,2015.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
6.0,881232551986781450,-3955212733485100109,5927333115845830913,881232551986781450,881232551986781450,881232551986781450,881232551986781450,6.0,-1.0,6.0,1.0,6.0,-1.0,6.0,1.0,6.0,-1.0,6.0,1.0,6.0,6.0,1.0,6.0,-1.0,6.0,1.0,9.0,9.0,-1.0,9.0,1.0,9.0,-1.0,9.0,1.0,9.0,-1.0,9.0,1.0,9.0,9.0,1.0,9.0,-1.0,9.0,1.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
4.0,-538061441862183033,-8504475857937456387,-1,-538061441862183033,-538061441862183033,-538061441862183033,-538061441862183033,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,2.0,4.0,2.0,34.0,34.0,0.0,34.0,2.0,34.0,0.0,34.0,2.0,34.0,0.0,34.0,2.0,34.0,34.0,1.0,34.0,0.0,34.0,2.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,177.0,177.0,177.0,177.0,177.0,704.0,548.0,0,160.0,5.5,2.0,8.0,2015.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
4.0,-7019065537970767532,8024047519993119192,-3777530687775777405,-7019065537970767532,-7019065537970767532,-7019065537970767532,-7019065537970767532,4.0,-1.0,4.0,1.0,4.0,-1.0,4.0,1.0,4.0,-1.0,4.0,1.0,4.0,4.0,1.0,4.0,-1.0,4.0,1.0,23.0,23.0,-1.0,23.0,1.0,23.0,-1.0,23.0,1.0,23.0,-1.0,23.0,1.0,23.0,23.0,1.0,23.0,-1.0,23.0,1.0,405.0,405.0,405.0,405.0,405.0,730.0,251.0,251.0,251.0,251.0,251.0,251.0,262.0,775.0,39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
3.0,5927333115845830913,-332792151099088795,429374175315151221,5927333115845830913,5927333115845830913,5927333115845830913,5927333115845830913,3.5,0.5,4.0,2.0,2.2,4.2,4.0,5.0,2.2,4.2,4.0,5.0,3.0,3.0,1.0,2.2,4.2,4.0,5.0,14.0,9.0,50.0,14.0,2.0,4.4,32.8,14.0,5.0,4.4,32.8,14.0,5.0,14.0,14.0,1.0,4.4,32.8,14.0,5.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,704.0,548.0,549.0,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
4.0,-538061441862183033,5927333115845830913,8693964245073640147,-538061441862183033,-538061441862183033,-538061441862183033,-538061441862183033,4.5,0.5,5.0,2.0,6.83333333333,41.3666666667,19.0,6.0,6.83333333333,41.3666666667,19.0,6.0,4.0,4.0,1.0,6.83333333333,41.3666666667,19.0,6.0,21.0,21.5,0.5,22.0,2.0,15.0,63.2,22.0,6.0,15.0,63.2,22.0,6.0,21.0,21.0,1.0,15.0,63.2,22.0,6.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,704.0,548.0,549.0,0,120.0,5.5,2.0,3.0,2014.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
19.0,-538061441862183033,-8504475857937456387,-5324000882673780993,-538061441862183033,-538061441862183033,-538061441862183033,-538061441862183033,9.5,180.5,19.0,2.0,7.85714285714,66.4761904762,19.0,7.0,7.85714285714,66.4761904762,19.0,7.0,19.0,19.0,1.0,7.85714285714,66.4761904762,19.0,7.0,22.0,11.0,242.0,22.0,2.0,12.4285714286,135.285714286,22.0,7.0,12.4285714286,135.285714286,22.0,7.0,22.0,22.0,1.0,12.4285714286,135.285714286,22.0,7.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,0,130.0,4.7,1.0,4.0,2015.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
4.0,-538061441862183033,-6159006306231678365,-1,-538061441862183033,-538061441862183033,-538061441862183033,-538061441862183033,3.0,2.0,4.0,2.0,3.33333333333,1.33333333333,4.0,3.0,3.33333333333,1.33333333333,4.0,3.0,4.0,4.0,1.0,3.33333333333,1.33333333333,4.0,3.0,18.0,17.5,0.5,18.0,2.0,17.6666666667,0.333333333333,18.0,3.0,17.6666666667,0.333333333333,18.0,3.0,18.0,18.0,1.0,17.6666666667,0.333333333333,18.0,3.0,548.0,548.0,548.0,548.0,548.0,549.0,704.0,704.0,704.0,704.0,704.0,704.0,548.0,549.0,0,250.0,4.3,2.0,4.0,2013.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
9.0,-538061441862183033,7239580392992438725,1665047061121005617,-538061441862183033,-538061441862183033,-538061441862183033,-538061441862183033,9.0,-1.0,9.0,1.0,9.0,-1.0,9.0,1.0,9.0,-1.0,9.0,1.0,9.0,9.0,1.0,9.0,-1.0,9.0,1.0,19.0,19.0,-1.0,19.0,1.0,19.0,-1.0,19.0,1.0,19.0,-1.0,19.0,1.0,19.0,19.0,1.0,19.0,-1.0,19.0,1.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,0,250.0,4.3,2.0,4.0,2013.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
85.0,3433289601737013244,-5472633337921616096,8693964245073640147,3433289601737013244,3433289601737013244,3433289601737013244,3433289601737013244,98.0,338.0,111.0,2.0,75.5714285714,2596.95238095,156.0,7.0,75.5714285714,2596.95238095,156.0,7.0,85.0,85.0,1.0,75.5714285714,2596.95238095,156.0,7.0,36.0,36.5,0.5,37.0,2.0,36.2857142857,1.2380952381,37.0,7.0,36.2857142857,1.2380952381,37.0,7.0,36.0,36.0,1.0,36.2857142857,1.2380952381,37.0,7.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,548.0,548.0,548.0,548.0,548.0,704.0,549.0,1,290.0,5.0,3.0,8.0,2014.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
